"","B.300","M.300"
"1",2.96798794044767e-09,0.999999997032012
"2",0.0305269115034996,0.9694730884965
"3",1.01350904486136e-05,0.999989864909551
"4",3.90398783075147e-09,0.999999996096012
"5",9.33209603196749e-09,0.999999990667904
"6",2.88612546331087e-08,0.999999971138745
"7",0.0336420743726862,0.966357925627314
"8",0.996974582204655,0.00302541779534547
"9",0.0001094556989929,0.999890544301007
"10",1.20972911385149e-09,0.999999998790271
"11",4.02307863614092e-07,0.999999597692136
"12",0.999999852657499,1.47342501230002e-07
"13",3.68809303839869e-09,0.999999996311907
"14",0.999999991458809,8.54119060074029e-09
"15",0.999999978613063,2.13869375246136e-08
"16",1.37624291436782e-08,0.999999986237571
"17",0.848628128541892,0.151371871458108
"18",0.000214096744063996,0.999785903255936
"19",6.24642659764440e-09,0.999999993753573
"20",0.999999898045271,1.01954729418218e-07
"21",0.0152391083217178,0.984760891678282
"22",0.999965610085714,3.43899142857439e-05
"23",0.999999996474406,3.52559381814467e-09
"24",2.15515899317398e-09,0.999999997844841
"25",2.45834913276669e-08,0.999999975416509
"26",0.999999948714097,5.12859034563898e-08
"27",2.19719411486684e-07,0.999999780280588
"28",0.999999991739074,8.26092563515803e-09
"29",5.25315875396861e-07,0.999999474684125
"30",0.999999987853694,1.21463063375664e-08
"31",0.999999998172653,1.82734750873671e-09
"32",0.999983915458175,1.60845418249458e-05
"33",3.487433661265e-10,0.999999999651257
"34",9.51978822079441e-07,0.999999048021178
"35",0.999999999235375,7.64625470422865e-10
"36",3.61256209740135e-08,0.999999963874379
"37",0.999999986738279,1.32617210626511e-08
"38",3.32937552798817e-08,0.999999966706245
"39",6.97845118444884e-05,0.999930215488156
"40",0.999999991172672,8.82732810945808e-09
"41",0.963921664659353,0.0360783353406466
"42",0.999999615796351,3.84203649244959e-07
"43",0.688342666018947,0.311657333981053
"44",4.71391710092679e-08,0.999999952860829
"45",0.995596445752667,0.00440355424733315
"46",0.99994076231252,5.92376874800768e-05
