"","class","posterior.P","posterior.S","LD1"
"1","S",0.240356156112985,0.759643843887015,1.32434836023911
"2","S",0.317264403817593,0.682735596182407,0.965284900805032
"3","S",0.219210473492706,0.780789526507294,1.43602715141337
"4","P",0.685038274568943,0.314961725431057,-0.476548706578339
"5","S",0.479489786080812,0.520510213919188,0.3260286005304
"6","S",0.265945263857041,0.734054736142959,1.19782575365682
"7","S",0.388364482877248,0.611635517122752,0.673647794025263
"8","S",0.326867419572783,0.673132580427217,0.924194780821813
"9","S",0.072112064631783,0.927887935368217,2.63592330292467
"10","S",0.184900202550308,0.815099797449692,1.63521731825533
"11","S",0.285013671635693,0.714986328364307,1.10854765057743
"12","S",0.409420924309597,0.590579075690403,0.59159505435952
"13","S",0.374244222904495,0.625755777095505,0.729568109702992
"14","P",0.852716728326756,0.147283271673244,-1.39116929402342
"15","P",0.739942647501245,0.260057352498755,-0.727517474635705
"16","P",0.761112007612467,0.238887992387533,-0.833189254419798
"17","P",0.911332270480816,0.0886677295191843,-1.92734332926048
"18","P",0.948461599315072,0.0515384006849276,-2.47151470634259
"19","P",0.781839427494551,0.218160572505449,-0.943080820247453
"20","P",0.715534415197255,0.284465584802745,-0.612374993022845
"21","S",0.455246131586345,0.544753868413655,0.417027605584279
"22","S",0.472688653825569,0.527311346174431,0.351501604137003
"23","S",0.434098016878806,0.565901983121194,0.497045836739507
"24","S",0.263917912887816,0.736082087112184,1.20755114111735
"25","P",0.507488368516202,0.492511631483798,0.221358859637457
"26","P",0.773048469333749,0.226951530666251,-0.895611774421783
"27","P",0.861049792952818,0.138950207047182,-1.45466380330663
"28","P",0.927864811008637,0.072135188991363,-2.13691378294975
"29","S",0.131507637530737,0.868492362469263,2.01281877404289
