"","class","posterior.P","posterior.S","LD1"
"1","S",0.429376788829536,0.570623211170464,0.530356522090637
"2","S",0.458154508566176,0.541845491433823,0.417299274857269
"3","S",0.338236727629594,0.661763272370406,0.905308701565151
"4","P",0.681567155127378,0.318432844872622,-0.483085603456601
"5","S",0.379886822713098,0.620113177286902,0.729708921989136
"6","S",0.276025781759243,0.723974218240757,1.18945440922908
"7","S",0.394938859351294,0.605061140648706,0.668216567600293
"8","S",0.287858652580256,0.712141347419744,1.13278548208042
"9","S",0.152343848831994,0.847656151168007,1.91855267468509
"10","S",0.250493673829995,0.749506326170005,1.31715007806678
"11","S",0.304162274513935,0.695837725486065,1.05692428193255
"12","S",0.331972429241282,0.668027570758718,0.932565449327652
"13","S",0.384615128854192,0.615384871145808,0.710296712682245
"14","P",0.784092165137965,0.215907834862035,-0.995626307548647
"15","P",0.715327990930413,0.284672009069587,-0.638605218989685
"16","P",0.675718027512817,0.324281972487183,-0.457084218227757
"17","P",0.825865623606864,0.174134376393136,-1.25440169294229
"18","P",0.784839486536621,0.215160513463379,-0.999911234421506
"19","P",0.694029101232794,0.305970898767206,-0.539353226772926
"20","P",0.643844275923407,0.356155724076593,-0.31935081955047
"21","P",0.97236798343325,0.0276320165667495,-3.19733097238242
"22","S",0.411923306231566,0.588076693768434,0.599794316553812
"23","S",0.392456958880052,0.607543041119949,0.678296534709604
"24","P",0.986992694486369,0.0130073055136312,-3.94224955755225
"25","S",0.41076497423141,0.58923502576859,0.604431906131622
"26","P",0.716953819379467,0.283046180620533,-0.646358761001109
"27","P",0.764011759438674,0.235988240561326,-0.884261857698562
"28","P",0.689777688432696,0.310222311567304,-0.520018772986013
"29","S",0.219143637425225,0.780856362574775,1.48649641002889
