"","S.300","P.300"
"1",0.136221212904579,0.863778787095421
"2",0.482092724630506,0.517907275369494
"3",0.295661865393491,0.704338134606509
"4",0.167022768125251,0.832977231874749
"5",0.667081836233713,0.332918163766287
"6",0.664339321115679,0.335660678884321
"7",0.307054347385848,0.692945652614152
"8",0.942159601755178,0.057840398244822
"9",0.312593576914717,0.687406423085283
"10",0.0324013036324284,0.967598696367572
"11",0.633988116104792,0.366011883895208
"12",0.476802010910034,0.523197989089966
"13",0.129083534836657,0.870916465163343
"14",0.972804344037367,0.0271956559626329
"15",0.932690935670544,0.0673090643294558
"16",0.816427156173334,0.183572843826666
"17",0.924797079156917,0.0752029208430834
"18",0.233755402633823,0.766244597366177
"19",0.931850381705554,0.0681496182944464
"20",0.871298628102481,0.128701371897519
"21",0.587504109563443,0.412495890436557
"22",0.634538585504178,0.365461414495822
"23",0.7351588694215,0.2648411305785
"24",0.671765536068612,0.328234463931388
"25",0.667877582414031,0.332122417585969
"26",0.923440065645245,0.0765599343547554
"27",0.737952410625152,0.262047589374848
"28",0.588598235888284,0.411401764111716
"29",0.0706011862440464,0.929398813755954
